a  /ah /a
agree  /ah g r iy /a g r ee
agreed  /ah g r iy d /a g r ee d
agricultural  /ae g r ih k ah el ch er el /a g r i c u l t ur al
ahah  /ao hh ao /a h ah  
ahead  /ah hh eh d /a h ea d
aid  /ey d /ai d
aided  /ey d ih d /ai d e d
aids  /ey d z /ai d s
aim  /ey m /ai m
aimed  /ey m d /ai m ed
aimless  /ey m el ah s /ai m l e ss
ain't  /ey en t /ai n' t
air  /ae r /ai r
airborne  /ae r b ao r en /ai r b o r ne  
aircraft  /ae r k r ae f t /ai r c r a f t
airfields  /ae r f iy el d z /ai r f i el d s
airplanes  /ae r p el ey en z /ai r p l a ne s
al  /ae el /a l
alarm  /ah el ao r m /a l a r m
alcohol  /ae el k ah hh ao el /a l c o h o l
alcoholic  /ae el k ah hh ao el ih k /a l c o h o l i c
alcoholics  /ae el k ah hh ao el ih k s /a l c o h o l i c s
alcoves  /ae el k ow v z /a l c o ve s
alert  /ah el er t /a l er t
alfalfa  /ae el f ae el f ah /a l f a l f a
algae  /ae el jh iy /a l ga e
alibi  /ae el ih b ay /a l i b i
alice  /ae el ih s /a l i ce  
alice's  /ae el ih s ih z /a l i c e' s
alien  /ey el iy ah en /a l i e n
aligned  /ah el ay en d /a l i gn ed
aligning  /ah el ay en ih ng /a l i gn i ng
alimony  /ae el ah m ow en iy /a l i m o n y
alkaline  /ae el k ah el ay en /a l k a l i ne  
all  /ao el /a ll
all-purpose  /ao el p er p ah s /a ll- p ur p o se  
allergies  /ae el er jh iy z /a ll er g ie s
alleviate  /ah el iy v iy ey t /a ll e v i a te  
alligators  /ae el ah g ey t er z /a ll i g a t or s
allot  /ah el ao t /a ll o t
allow  /ah el aw /a ll ow
allowable  /ah el aw ah b el /a ll ow a b le  
allowance  /ah el aw ah en s /a ll ow a n ce  
allowed  /ah el aw d /a ll ow ed
allure  /ah el uh r /a ll u re  
almonds  /ao m ah en d z /al m o n d s
almost  /ao el m ow s t /a l m o s t
alone  /ah el ow en /a l o ne  
along  /ah el ao ng /a l o ng
aloud  /ah el aw d /a l ou d
already  /ao el r eh d iy /a l r ea d y
also  /ao el s ow /a l s o
alternated  /ao el t er en ey t ih d /a l t er n a t e d
alternative  /ao el t er en ih t ih v /a l t er n a t i ve  
although  /ao el dh ow /a l th ough
altogether  /ao el t ih g eh dh er /a l t o g e th er
aluminum  /ah el uw m ih en ah m /a l u m i n u m
alumni  /ah el ah m en ay /a l u m n i
always  /ao el w ey z /a l w ay s
am  /ae m /a m
amateur  /ae m ah ch er /a m a t eur
amaze  /ah m ey z /a m a ze  
amazed  /ah m ey z d /a m a z ed
ambassador  /ae m b ae s ah d er /a m b a ss a d or
ambassador's  /ae m b ae s ah d er z /a m b a ss a d or' s
amber  /ae m b er /a m b er
ambidextrous  /ae m b ih d eh k s t r ih s /a m b i d e * x t r ou s
ambiguity  /ae m b ah g y uw ih t iy /a m b i g * u i t y
ambiguous  /ae m b ih g y uw ah s /a m b i g * u ou s
ambitions  /ae m b ih sh ih en z /a m b i * * tion s
ambitious  /ae m b ih sh ih s /a m b i t iou s
ambled  /ae m b el d /a m b l ed
ambulance  /ae m b y uh el ah en s /a m b * u l a n ce  
american  /ah m eh r ih k ih en /a m e r i c a n
ammo  /ae m ow /a mm o
amoebas  /ah m iy b ah z /a mo e b a s
among  /ah m ah ng /a m o ng
amorist  /ae m ao r ih s t /a m o r i s t
amount  /ah m aw en t /a m ou n t
amounts  /ah m aw en t s /a m ou n t s
ample  /ae m p el /a m p le  
an  /ae en /a n
anaesthesia  /ae en ih s th iy sh ah /a n ae s th e si a
analysis  /ah en ae el ih s ih s /a n a l y s i s
analyticity  /ae en ah el ih t ih s ih t iy /a n a l y t i c i t y
anarchy  /ae en er k iy /a n ar ch y
anatomical  /ae en ih t ao m ih k el /a n a t o m i c al
anchor  /ae ng k er /a n ch or
ancient  /ey en sh ih en t /a n c i en t
and  /ae en d /a n d
andrei's  /ae en d r ey z /a n d r ei' s
anecdotal  /ae en eh k d ow t el /a n e c d o t al
anger  /ae ng g er /a n g er
angora  /ae ng g ao r ah /a n g o r a
angrily  /ae ng g r ah el iy /a n g r i l y
angry  /ae ng g r iy /a n g r y
angular  /ae ng g y uh el er /a n g * u l ar
animal  /ae en ih m el /a n i m al
animals  /ae en ih m el z /a n i m al s
ankle  /ae ng k el /a n k le  
announcing  /ah en aw en s ih ng /a nn ou n c i ng
annoying  /ah en oy ih ng /a nn oy i ng
annual  /ae en y uw el /a n *n u al
anonymous  /ah en ao en ah m ah s /a n o n y m ou s
another  /ah en ah dh er /a n o th er
answer  /ae en s er /a n sw er
answered  /ae en s er d /a n sw er ed
answers  /ae en s er z /a n sw er s
ant  /ae en t /a n t
antagonistic  /ae en t ae g ah en ih s t ih k /a n t a g o n i s t i c
antarctic  /ae en t ao r k t ih k /a n t a r c t i c
antelope  /ae en t ah el ow p /a n t e l o pe  
anti-  /ae en t ay /a n t i-  
anti-infective  /ae en t ay ih en f eh k t ih v /a n t i- i n f e c t i ve  
anti-slavery  /ae en t ay s el ey v er iy /a n t i- s l a v er y
anticipated  /ae en t ih s ah p ey t ih d /a n t i c i p a t e d
antigen  /ae en t ih jh ih en /a n t i g e n
antiseptic  /ae en t ih s eh p t ih k /a n t i s e p t i c
antithesis  /ae en t ih th ih s ih s /a n t i th e s i s
ants  /ae en t s /a n t s
anxiety  /ae ng z ay ih t iy /a n x i e t y
any  /eh en iy /a n y
anybody  /eh en iy b ao d iy /a n y b o d y
anyhow  /eh en iy hh aw /a n y h ow
anyone  /eh en iy w ah en /a n y * o ne  
anyone's  /eh en iy w ah en z /a n y * o ne' s
anything  /eh en iy th ih ng /a n y th i ng
anyway  /eh en iy w ey /a n y w ay
apartments  /ah p ao r t m ah en t s /a p a r t m e n t s
apology  /ah p ao el ah jh iy /a p o l o g y
apparently  /ah p ae r ah en t el iy /a pp a r e n t l y
appealing  /ah p iy el ih ng /a pp e al i ng
appear  /ah p ih r /a pp ea r
appearance  /ah p ih r ah en s /a pp ea r a n ce  
appeared  /ah p ih r d /a pp ea r ed
appears  /ah p ih r z /a pp ea r s
appetite  /ae p ah t ay t /a pp e t i te  
appetites  /ae p ah t ay t s /a pp e t i te s
appetizers  /ae p ah t ay z er z /a pp e t i z er s
apple  /ae p el /a pp le  
apples  /ae p el z /a pp le s
appliances  /ah p el ay ih en s ih z /a pp l i a n c e s
applicability  /ae p el ih k ah b ih el ih t iy /a pp l i c a b i l i t y
application  /ae p el ih k ey sh ih en /a pp l i c a * * tion
applications  /ae p el ih k ey sh ih en z /a pp l i c a * * tion s
applied  /ah p el ay d /a pp l i ed
applies  /ah p el ay z /a pp l ie s
apply  /ah p el ay /a pp l y
applying  /ah p el ay ih ng /a pp l y i ng
appointed  /ah p oy en t ih d /a pp oi n t e d
appointment  /ah p oy en t m ah en t /a pp oi n t m e n t
appraisal  /ah p r ey z el /a pp r ai s al
appreciate  /ah p r iy sh iy ey t /a pp r e c i a te  
appreciated  /ah p r iy sh iy ey t ih d /a pp r e c i a t e d
appreciatively  /ah p r iy sh ih t ih v el iy /a pp r e c ia t i v el y
approach  /ah p r ow ch /a pp r oa ch
approached  /ah p r ow ch t /a pp r oa ch ed
appropriate  /ah p r ow p r iy ah t /a pp r o p r i a te  
approval  /ah p r uw v el /a pp r o v al
approved  /ah p r uw v d /a pp r o v ed
approvingly  /ah p r uw v ih ng el iy /a pp r o v i ng l y
approximated  /ah p r ao k s ih m ey t ih d /a pp r o * x i m a t e d
approximation  /ah p r ao k s ih m ey sh ih en /a pp r o * x i m a * * tion
aprons  /ey p r ah en z /a p r o n s
aptitude  /ae p t ih t uw d /a p t i t u de  
aquatic  /ah k w ao t ih k /a q u a t i c
arbitrary  /ao r b ah t r eh r iy /a r b i t r a r y
arbitrate  /ao r b ah t r ey t /a r b i t r a te  
arboreal  /ao r b ao r iy el /a r b o r e al
arc  /ao r k /a r c
arcade  /ao r k ey d /a r c a de  
archeological  /ao r k iy ah el ao jh ih k el /a r ch e o l o g i c al
are  /ao r /a re  
area  /ae r iy ah /a r e a
areas  /ae r iy ah z /a r e a s
aren't  /ao r en t /a r en' t
argue  /ao r g y uw /a r g * ue  
argued  /ao r g y uw d /a r g * u ed
argument  /ao r g y uw m ah en t /a r g * u m e n t
arise  /ah r ay z /a r i se  
arises  /ah r ay z ih z /a r i s e s
aristocratic  /ah r ih s t ih k r ae t ih k /a r i s t o c r a t i c
arm  /ao r m /a r m
armchair  /ao r m ch ae r /a r m ch ai r
armed  /ao r m d /a r m ed
arms  /ao r m z /a r m s
army  /ao r m iy /a r m y
arose  /ah r ow z /a r o se  
around  /ah r aw en d /a r ou n d
arrange  /ah r ey en jh /a rr a n ge  
arranged  /ah r ey en jh d /a rr a n g ed
arrival  /ah r ay v el /a rr i v al
arrive  /ah r ay v /a rr i ve  
arrived  /ah r ay v d /a rr i v ed
arriving  /ah r ay v ih ng /a rr i v i ng
art  /ao r t /a r t
article  /ao r t ih k el /a r t i c le  
articulation  /ao r t ih k y uh el ey sh ih en /a r t i c * u l a * * tion
artificial  /ao r t ih f ih sh el /a r t i f i ci al
artist  /ao r t ih s t /a r t i s t
artistic  /ao r t ih s t ih k /a r t i s t i c
artists  /ao r t ih s t s /a r t i s t s
as  /ae z /a s
ashamed  /ah sh ey m d /a sh a m ed
ashtray  /ae sh t r ey /a sh t r ay
aside  /ah s ay d /a s i de  
ask  /ae s k /a s k
asked  /ae s k t /a s k ed
asleep  /ah s el iy p /a s l ee p
aspect  /ae s p eh k t /a s p e c t
aspects  /ae s p eh k t s /a s p e c t s
assail  /ah s ey el /a ss ai l
assassin  /ah s ae s ih en /a ss a ss i n
assaults  /ah s ao el t s /a ss au l t s
assembled  /ah s eh m b el d /a ss e m b l ed
assembling  /ah s eh m b el ih ng /a ss e m b l i ng
assert  /ah s er t /a ss er t
assign  /ah s ay en /a ss i gn
assignment  /ah s ay en m ah en t /a ss i gn m e n t
assistance  /ah s ih s t en s /a ss i s ta n ce  
assistant  /ah s ih s t ih en t /a ss i s t a n t
associated  /ah s ow s iy ey t ih d /a ss o c i a t e d
associates  /ah s ow s iy ey t s /a ss o c i a te s
associations  /ah s ow s iy ey sh ih en z /a ss o c i a * * tion s
assume  /ah s uw m /a ss u me  
assumed  /ah s uw m d /a ss u m ed
assure  /ah sh uh r /a ss u re  
assured  /ah sh uh r d /a ss u r ed
assuredly  /ah sh uh r ah d el iy /a ss u r e d l y
assures  /ah sh uh r z /a ss u re s
assuring  /ah sh uh r ih ng /a ss u r i ng
asthma  /ae z m ah /a sth m a
astonishingly  /ah s t ao en ih sh ih ng el iy /a s t o n i sh i ng l y
astronomy  /ah s t r ao en ah m iy /a s t r o n o m y
astrophysics  /ae s t r ah f ih z ih k s /a s t r o ph y s i c s
at  /ae t /a t
ate  /ey t /a te  
atheists  /ey th iy ih s t s /a th e i s t s
athletic  /ae th el eh t ih k /a th l e t i c
atmosphere  /ae t m ah s f ih r /a t m o s ph e re  
atomic  /ah t ao m ih k /a t o m i c
atoms  /ae t m z /a to m s
atop  /ah t ao p /a t o p
attach  /ah t ae ch /a tt a ch
attack  /ah t ae k /a tt a ck
attacked  /ah t ae k t /a tt a ck ed
attempted  /ah t eh m p t ih d /a tt e m p t e d
attendance  /ah t eh en d ih en s /a tt e n d a n ce  
attendants  /ah t eh en d eh en t s /a tt e n d a n t s
attention  /ah t eh en sh ih en /a tt e n * * tion
attitude  /ae t ih t uw d /a tt i t u de  
attracted  /ah t r ae k t ih d /a tt r a c t e d
attractive  /ah t r ae k t ih v /a tt r a c t i ve  
attributed  /ae t r ih b y uh t ih d /a tt r i b * u t e d
atypical  /ey t ih p ih k el /a t y p i c al
auburn  /ao b er en /au b ur n
audience  /ao d iy ah en s /au d i e n ce  
audio  /ao d iy ow /au d i o
audio-visual  /ao d iy ow v ih sh uw el /au d i o- v i s u al
audition  /ao d ih sh ih en /au d i * * tion
auditors  /ao d ih t er z /au d i t or s
auditory  /ao d ih t ao r iy /au d i t o r y
audits  /ao d ih t s /au d i t s
augmented  /ao g m eh en t ih d /au g m e n t e d
aunt  /ae en t /au n t
austere  /ao s t ih r /au s t e re  
author  /ao th er /au th or
author's  /ao th er z /au th or' s
authorities  /ah th ao r ih t iy z /au th o r i t ie s
authority  /ah th ao r ih t iy /au th o r i t y
authorization  /ao th er ih z ey sh ih en /au th or i z a * * tion
authorized  /ao th er ay z d /au th or i z ed
autistic  /ao t ih s t ih k /au t i s t i c
autofluorescence  /ao t ow f el uh r eh s en s /au t o f l uo r e sc en ce  
autographs  /ao t ih g r ae f s /au t o g r a ph s
automatic  /ao t ah m ae t ih k /au t o m a t i c
automobile  /ao t ah m ow b iy el /au t o m o b i le  
autonomy  /ao t ao en ah m iy /au t o n o m y
autumn  /ao t m /au tu mn  
available  /ah v ey el ih b el /a v ai l a b le  
avalanche  /ae v ah el ae en ch /a v a l a n che  
average  /ae v r ih jh /a ve r a ge  
avocado  /ae v ah k ao d ow /a v o c a d o
avocados  /ae v ah k ao d ow z /a v o c a d o s
avoid  /ah v oy d /a v oi d
avoided  /ah v oy d ih d /a v oi d e d
avoiding  /ah v oy d ih ng /a v oi d i ng
avowed  /ah v aw d /a v ow ed
aw  /ao /aw  
awards  /ah w ao r d z /a w a r d s
aware  /ah w ae r /a w a re  
away  /ah w ey /a w ay
awe  /ao /awe  
awe-inspiring  /ao ih en s p ay er ih ng /aw e-i n s p i r i ng
awkward  /ao k w er d /aw k w ar d
awoke  /ah w ow k /a w o ke  
axis  /ae k s ih s /a * x i s
babbled  /b ae b el d /b a bb l ed
baboon's  /b ae b uw en z /b a b oo n' s
back  /b ae k /b a ck
backed  /b ae k t /b a ck ed
backgrounds  /b ae k g r aw en d z /b a ck g r ou n d s
backward  /b ae k w er d z /b a ck w ar d
backyards  /b ae k y ao r d z /b a ck y a r d s
bacteria  /b ae k t ih r iy ah /b a c t e r i a
bad  /b ae d /b a d
badness  /b ae d en ih s /b a d n e ss
baffle  /b ae f el /b a ff le  
bag  /b ae g /b a g
bagpipes  /b ae g p ay p s /b a g p i pe s
bags  /b ae g z /b a g s
bake  /b ey k /b a ke  
balance  /b ae el ih en s /b a l a n ce  
bale  /b ey el /b a le  
baleful  /b ey el f el /b a le fu l
ball  /b ao el /b a ll
ballet  /b ae el ey /b a ll et
ballets  /b ae el ey z /b a ll et s
balloons  /b ah el uw en z /b a ll oo n s
ballplayer  /b ao el p el ey er /b a ll p l ay er
balls  /b ao el z /b a ll s
ballyhoo  /b ae el iy hh uw /b a ll y h oo
bandaged  /b ae en d ih jh d /b a n d a g ed
bandages  /b ae en d ih jh ih z /b a n d a g e s
bank  /b ae ng k /b a n k
bankers  /b ae ng k er z /b a n k er s
banks  /b ae ng k s /b a n k s
barb  /b ao r b /b a r b
barb's  /b ao r b z /b a r b' s
barbaric  /b ao r b ae r ih k /b a r b a r i c
barbecue  /b ao r b ih k y uw /b a r b e c * ue  
barbed  /b ao r b d /b a r b ed
bare  /b ae r /b a re  
barely  /b ae r el iy /b a r el y
bargains  /b ao r g ih en z /b a r g ai n s
bark  /b ao r k /b a r k
barley  /b ao r el iy /b a r l ey  
barn  /b ao r en /b a r n
barometric  /b ae r ah m eh t r ih k /b a r o m e t r i c
barracuda  /b ae r ah k uw d ah /b a rr a c u d a
barrels  /b ae r el z /b a rr el s
barricades  /b ae r ah k ey d z /b a rr i c a de s
barriers  /b ae r iy er z /b a rr i er s
base  /b ey s /b a se  
baseball  /b ey s b ao el /b a se b a ll
baseball's  /b ey s b ao el z /b a se b a ll' s
based  /b ey s t /b a s ed
basic  /b ey s ih k /b a s i c
basis  /b ey s ih s /b a s i s
basketball  /b ae s k ih t b ao el /b a s k e t b a ll
bath  /b ae th /b a th
bathe  /b ey dh /b a the  
bathing  /b ey dh ih ng /b a th i ng
baths  /b ae th s /b a th s
bathtubs  /b ae th t ah b z /b a th t u b s
battery  /b ae t er iy /b a tt er y
battery-powered  /b ae t er iy p aw er d /b a tt er y- p ow er ed
batting  /b ae t ih ng /b a tt i ng
bay  /b ey /b ay
bayed  /b ey d /b ay ed
bayonet  /b ey ah en eh t /b ay o n e t
bayou  /b ay uw /ba y ou
bazaar  /b ah z ao r /b a z aa r
be  /b iy /b e
beach  /b iy ch /b ea ch
beans  /b iy en z /b ea n s
beard  /b ih r d /b ea r d
beat  /b iy t /b ea t
beatniks  /b iy t en ih k s /b ea t n i k s
beautiful  /b y uw t ih f el /b * ea u t i fu l
beautifully  /b y uw t ih f ah el iy /b * ea u t i f u ll y
beauty  /b y uw t iy /b * ea u t y
becalmed  /b ih k ao m d /b e c al m ed
became  /b ih k ey m /b e c a me  
because  /b ih k ao z /b e c au se  
beckons  /b eh k ih en z /b e ck o n s
become  /b ih k ah m /b e c o me  
becomes  /b ih k ah m z /b e c o me s
becoming  /b ih k ah m ih ng /b e c o m i ng
bed  /b eh d /b e d
bedlam  /b eh d el ah m /b e d l a m
bedroom  /b eh d r uw m /b e d r oo m
bedrooms  /b eh d r uw m z /b e d r oo m s
beds  /b eh d z /b e d s
beefsteak  /b iy f s t ey k /b ee f s t ea k
been  /b ih en /b e en
beep  /b iy p /b ee p
beer  /b ih r /b ee r
beers  /b ih r z /b ee r s
before  /b ah f ao r /b e f o re  
beg  /b eh g /b e g
began  /b iy g ae en /b e g a n
beggar  /b eh g er /b e gg ar
begin  /b ah g ih en /b e g i n
beginning  /b ah g ih en ih ng /b e g i nn i ng
begins  /b ah g ih en z /b e g i n s
behaved  /b ih hh ey v d /b e h a v ed
behavior  /b ih hh ey v y er /b e h a v i or
behind  /b ah hh ay en d /b e h i n d
being  /b iy ih ng /b e i ng
belched  /b eh el ch t /b e l ch ed
believe  /b ah el iy v /b e l ie ve  
believed  /b ah el iy v d /b e l ie v ed
bellhops  /b eh el hh ao p s /b e ll h o p s
bellows  /b eh el ow z /b e ll ow s
bells  /b eh el z /b e ll s
belong  /b ah el ao ng /b e l o ng
belongs  /b ah el ao ng z /b e l o ng s
beloved  /b ah el ah v ah d /b e l o v e d
below  /b ah el ow /b e l ow  
belt  /b eh el t /b e l t
bench  /b eh en ch /b e n ch
beneath  /b ih en iy th /b e n ea th
benefit  /b eh en ah f ih t /b e n e f i t
benefits  /b eh en ah f ih t s /b e n e f i t s
bequests  /b ih k w eh s t s /b e q u e s t s
bereft  /b er eh f t /b er e f t
beside  /b ah s ay d /b e s i de  
besides  /b ah s ay d z /b e s i de s
best  /b eh s t /b e s t
bet  /b eh t /b e t
betide  /b ah t ay d /b e t i de  
betrayed  /b iy t r ey d /b e t r ay ed
better  /b eh t er /b e tt er
between  /b ah t w iy en /b e t w ee n
beverage  /b eh v r ih jh /b e ve r a ge  
beverages  /b eh v r ih jh ih z /b e ve r a g e s
beyond  /b iy ao en d /b ey o n d
biased  /b ay ih s t /b i a s ed
biblical  /b ih b el ih k el /b i b l i c al
bibliographies  /b ih b el iy ao g r ah f iy z /b i b l i o g r a ph ie s
bickering  /b ih k er ih ng /b i ck er i ng
bidding  /b ih d ih ng /b i dd i ng
big  /b ih g /b i g
bigger  /b ih g er /b i gg er
bike  /b ay k /b i ke  
bill  /b ih el /b i ll
billowed  /b ih el ow d /b i ll ow ed
bills  /b ih el z /b i ll s
binomial  /b ay en ow m iy el /b i n o m i al
biological  /b ay ah el ao jh ih k el /b i o l o g i c al
biologists  /b ay ao el ah jh ih s t s /b i o l o g i s t s
biology  /b ay ao el ah jh iy /b i o l o g y
biracial  /b ay r ey sh el /b i r a ci al
birds  /b er d z /b ir d s
birth  /b er th /b ir th
birthday  /b er th d ey /b ir th d ay
biscuit  /b ih s k ih t /b i s c ui t
bit  /b ih t /b i t
bites  /b ay t s /b i te s
bitter  /b ih t er /b i tt er
bivouac  /b ih v w ae k /b i v ou a c
bizarre  /b ah z ao r /b i z a rre  
black  /b el ae k /b l a ck
blackened  /b el ae k ih en d /b l a ck e n ed
blame  /b el ey m /b l a me  
blank  /b el ae ng k /b l a n k
blankets  /b el ae ng k ih t s /b l a n k e t s
blasphemous  /b el ae s f ah m ah s /b l a s ph e m ou s
blastdown  /b el ae s t d aw en /b l a s t d ow n
bleachers  /b el iy ch er z /b l ea ch er s
blend  /b el eh en d /b l e n d
bleu  /b el uw /b le u
blew  /b el uw /b l ew
blindness  /b el ay en d en ih s /b l i n d n e ss
blissful  /b el ih s f el /b l i ss fu l
blistered  /b el ih s t er d /b l i s t er ed
blitz  /b el ih t s /b l i t z
bloat  /b el ow t /b l oa t
block  /b el ao k /b l o ck
blockade  /b el ao k ey d /b l o ck a de  
blocks  /b el ao k s /b l o ck s
blonde  /b el ao en d /b l o n de  
blooded  /b el ah d ih d /b l oo d e d
blouses  /b el aw s ih z /b l ou s e s
blow  /b el ow /b l ow  
blowers  /b el ow er z /b l ow er s
blowing  /b el ow ih ng /b l ow i ng
blue  /b el uw /b l ue  
bluejay  /b el uw jh ey /b l ue j ay
blues  /b el uw z /b l ue s
bluffs  /b el ah f s /b l u ff s
bluing  /b el uw ih ng /b l u i ng
bluish  /b el uw ih sh /b l u i sh
blunt  /b el ah en t /b l u n t
bluntly  /b el ah en t el iy /b l u n t l y
board  /b ao r d /b oa r d
boardinghouses  /b ao r d ih ng hh aw z ih z /b oa r d i ng h ou s e s
boat  /b ow t /b oa t
boat's  /b ow t s /b oa t' s
bob  /b ao b /b o b
bobby  /b ao b iy /b o bb y
bobcat  /b ao b k ae t /b o b c a t
bodied  /b ao d iy d /b o d i ed
bodies  /b ao d iy z /b o d ie s
body  /b ao d iy /b o d y
bog  /b ao g /b o g
bogged  /b ao g d /b o gg ed
boil  /b oy el /b oi l
boiling  /b oy el ih ng /b oi l i ng
bold  /b ow el d /b o l d
bolt  /b ow el t /b o l t
bomb  /b ao m /b o mb  
bombs  /b ao m z /b o mb s
